x,abs_accuracy
198,0.000040
199,0.000036
200,0.000033
201,0.000029
202,0.000026
203,0.000023
204,0.000020
205,0.000017
206,0.000014
207,0.000012
208,0.000009
209,0.000007
210,0.000005
211,0.000004
212,0.000003
213,0.000001
214,0.000001
215,0.000000
216,0.000000
217,0.000000
218,0.000001
219,0.000002
220,0.000003
221,0.000004
222,0.000006
223,0.000009
224,0.000012
225,0.000015
226,0.000019
227,0.000023
228,0.000028
229,0.000033
230,0.000039
231,0.000045
232,0.000052
233,0.000060
234,0.000068
235,0.000076
236,0.000085
237,0.000095
238,0.000106
239,0.000113
240,0.000112
241,0.000111
242,0.000110
243,0.000109
244,0.000109
245,0.000108
246,0.000107
247,0.000107
248,0.000106
249,0.000106
250,0.000106
251,0.000106
252,0.000106
253,0.000106
254,0.000106
255,0.000106
256,0.000106
257,0.000100
258,0.000094
259,0.000089
260,0.000084
261,0.000079
262,0.000074
263,0.000070
264,0.000065
265,0.000061
266,0.000057
267,0.000053
268,0.000050
269,0.000046
270,0.000043
271,0.000040
272,0.000037
273,0.000034
274,0.000031
275,0.000028
276,0.000026
277,0.000024
278,0.000022
279,0.000019
280,0.000018
281,0.000016
282,0.000014
283,0.000012
284,0.000011
285,0.000010
286,0.000008
287,0.000007
288,0.000006
289,0.000005
290,0.000004
291,0.000003
292,0.000003
293,0.000002
294,0.000002
295,0.000001
296,0.000001
297,0.000001
298,0.000000
299,0.000000
300,0.000000
301,0.000000
302,0.000000
303,0.000000
304,0.000000
305,0.000000
306,0.000001
307,0.000001
308,0.000001
309,0.000002
310,0.000002
311,0.000003
312,0.000003
313,0.000004
314,0.000005
315,0.000005
316,0.000006
317,0.000007
318,0.000007
319,0.000008
320,0.000009
321,0.000010
322,0.000011
323,0.000012
324,0.000013
325,0.000014
326,0.000015
327,0.000016
328,0.000017
329,0.000018
330,0.000019
331,0.000020
332,0.000021
333,0.000022
334,0.000023
335,0.000024
336,0.000025
337,0.000026
338,0.000027
339,0.000028
340,0.000029
341,0.000031
342,0.000032
343,0.000033
344,0.000034
345,0.000035
346,0.000036
347,0.000037
348,0.000038
349,0.000040
350,0.000041
351,0.000042
352,0.000043
353,0.000044
354,0.000045
355,0.000046
356,0.000047
357,0.000048
358,0.000049
359,0.000050
360,0.000051
361,0.000052
362,0.000053
363,0.000054
364,0.000055
365,0.000056
366,0.000057
367,0.000058
368,0.000059
369,0.000060
370,0.000061
371,0.000061
372,0.000062
373,0.000063
374,0.000064
375,0.000065
376,0.000065
377,0.000066
378,0.000067
379,0.000068
380,0.000068
381,0.000069
382,0.000070
383,0.000070
384,0.000071
385,0.000071
386,0.000072
387,0.000073
388,0.000073
389,0.000074
390,0.000074
391,0.000074
392,0.000075
393,0.000075
394,0.000076
395,0.000076
396,0.000076
397,0.000077
398,0.000077
399,0.000077
400,0.000078
401,0.000078
402,0.000078
403,0.000078
404,0.000078
405,0.000078
406,0.000079
407,0.000079
408,0.000079
409,0.000079
410,0.000079
411,0.000079
412,0.000079
413,0.000079
414,0.000079
415,0.000079
416,0.000079
417,0.000078
418,0.000078
419,0.000078
420,0.000078
421,0.000078
422,0.000077
423,0.000077
424,0.000077
425,0.000077
426,0.000076
427,0.000076
428,0.000076
429,0.000075
430,0.000075
431,0.000075
432,0.000074
433,0.000074
434,0.000073
435,0.000073
436,0.000072
437,0.000072
438,0.000071
439,0.000071
440,0.000070
441,0.000070
442,0.000069
443,0.000068
444,0.000068
445,0.000067
446,0.000066
447,0.000066
448,0.000065
449,0.000064
450,0.000064
451,0.000063
452,0.000062
453,0.000061
454,0.000061
455,0.000060
456,0.000059
457,0.000058
458,0.000058
459,0.000057
460,0.000056
461,0.000055
462,0.000054
463,0.000053
464,0.000053
465,0.000052
466,0.000051
467,0.000050
468,0.000049
469,0.000048
470,0.000047
471,0.000046
472,0.000045
473,0.000045
474,0.000044
475,0.000043
476,0.000042
477,0.000041
478,0.000040
479,0.000039
480,0.000038
481,0.000037
482,0.000036
483,0.000035
484,0.000034
485,0.000034
486,0.000033
487,0.000032
488,0.000031
489,0.000030
490,0.000029
491,0.000028
492,0.000027
493,0.000026
494,0.000025
495,0.000025
496,0.000024
497,0.000023
498,0.000022
499,0.000021
500,0.000020
501,0.000019
502,0.000019
503,0.000018
504,0.000017
505,0.000016
506,0.000015
507,0.000015
508,0.000014
509,0.000013
510,0.000012
511,0.000012
512,0.000011
513,0.000012
514,0.000012
515,0.000013
516,0.000013
517,0.000014
518,0.000014
519,0.000015
520,0.000015
521,0.000016
522,0.000016
523,0.000017
524,0.000018
525,0.000018
526,0.000019
527,0.000019
528,0.000020
529,0.000020
530,0.000021
531,0.000022
532,0.000022
533,0.000023
534,0.000023
535,0.000024
536,0.000025
537,0.000025
538,0.000026
539,0.000026
540,0.000027
541,0.000028
542,0.000028
543,0.000029
544,0.000029
545,0.000030
546,0.000031
547,0.000031
548,0.000032
549,0.000032
550,0.000033
551,0.000034
552,0.000034
553,0.000035
554,0.000035
555,0.000036
556,0.000036
557,0.000037
558,0.000038
559,0.000038
560,0.000039
561,0.000039
562,0.000040
563,0.000040
564,0.000041
565,0.000042
566,0.000042
567,0.000043
568,0.000043
569,0.000044
570,0.000044
571,0.000045
572,0.000045
573,0.000046
574,0.000046
575,0.000047
576,0.000048
577,0.000048
578,0.000049
579,0.000049
580,0.000050
581,0.000050
582,0.000051
583,0.000051
584,0.000051
585,0.000052
586,0.000052
587,0.000053
588,0.000053
589,0.000054
590,0.000054
591,0.000055
592,0.000055
593,0.000055
594,0.000056
595,0.000056
596,0.000057
597,0.000057
598,0.000058
599,0.000058
600,0.000058
601,0.000059
602,0.000059
603,0.000059
604,0.000060
605,0.000060
606,0.000060
607,0.000061
608,0.000061
609,0.000061
610,0.000062
611,0.000062
612,0.000062
613,0.000063
614,0.000063
615,0.000063
616,0.000063
617,0.000064
618,0.000064
619,0.000064
620,0.000064
621,0.000065
622,0.000065
623,0.000065
624,0.000065
625,0.000066
626,0.000066
627,0.000066
628,0.000066
629,0.000066
630,0.000066
631,0.000067
632,0.000067
633,0.000067
634,0.000067
635,0.000067
636,0.000067
637,0.000067
638,0.000068
639,0.000068
640,0.000068
641,0.000068
642,0.000068
643,0.000068
644,0.000068
645,0.000068
646,0.000068
647,0.000068
648,0.000068
649,0.000068
650,0.000068
651,0.000068
652,0.000068
653,0.000068
654,0.000068
655,0.000068
656,0.000068
657,0.000068
658,0.000068
659,0.000068
660,0.000068
661,0.000068
662,0.000068
663,0.000068
664,0.000068
665,0.000068
666,0.000068
667,0.000068
668,0.000067
669,0.000067
670,0.000067
671,0.000067
672,0.000067
673,0.000067
674,0.000067
675,0.000067
676,0.000066
677,0.000066
678,0.000066
679,0.000066
680,0.000066
681,0.000065
682,0.000065
683,0.000065
684,0.000065
685,0.000065
686,0.000064
687,0.000064
688,0.000064
689,0.000064
690,0.000063
691,0.000063
692,0.000063
693,0.000063
694,0.000062
695,0.000062
696,0.000062
697,0.000062
698,0.000061
699,0.000061
700,0.000061
701,0.000060
702,0.000060
703,0.000060
704,0.000059
705,0.000059
706,0.000059
707,0.000058
708,0.000058
709,0.000058
710,0.000057
711,0.000057
712,0.000057
713,0.000056
714,0.000056
715,0.000056
716,0.000055
717,0.000055
718,0.000054
719,0.000054
720,0.000054
721,0.000053
722,0.000053
723,0.000052
724,0.000052
725,0.000052
726,0.000051
727,0.000051
728,0.000050
729,0.000050
730,0.000049
731,0.000049
732,0.000049
733,0.000048
734,0.000048
735,0.000047
736,0.000047
737,0.000046
738,0.000046
739,0.000045
740,0.000045
741,0.000044
742,0.000044
743,0.000044
744,0.000043
745,0.000043
746,0.000042
747,0.000042
748,0.000041
749,0.000041
750,0.000040
751,0.000040
752,0.000039
753,0.000039
754,0.000038
755,0.000038
756,0.000037
757,0.000037
758,0.000036
759,0.000036
760,0.000035
761,0.000035
762,0.000034
763,0.000034
764,0.000033
765,0.000033
766,0.000032
767,0.000032
768,0.000031
769,0.000031
770,0.000030
771,0.000030
772,0.000030
773,0.000029
774,0.000029
775,0.000028
776,0.000028
777,0.000027
778,0.000027
779,0.000026
780,0.000026
781,0.000025
782,0.000025
783,0.000024
784,0.000024
785,0.000023
786,0.000023
787,0.000022
788,0.000022
789,0.000021
790,0.000021
791,0.000020
792,0.000020
793,0.000019
794,0.000019
795,0.000019
796,0.000018
797,0.000018
798,0.000017
799,0.000017
800,0.000016
801,0.000016
802,0.000015
803,0.000015
804,0.000015
805,0.000014
806,0.000014
807,0.000013
808,0.000013
809,0.000013
810,0.000012
811,0.000012
812,0.000011
813,0.000011
814,0.000011
815,0.000010
816,0.000010
817,0.000010
818,0.000009
819,0.000009
820,0.000008
821,0.000008
822,0.000008
823,0.000007
824,0.000007
825,0.000007
826,0.000006
827,0.000006
828,0.000006
829,0.000006
830,0.000005
831,0.000005
832,0.000005
833,0.000004
834,0.000004
835,0.000004
836,0.000004
837,0.000003
838,0.000003
839,0.000003
840,0.000003
841,0.000003
842,0.000002
843,0.000002
844,0.000002
845,0.000002
846,0.000002
847,0.000001
848,0.000001
849,0.000001
850,0.000001
851,0.000001
852,0.000001
853,0.000001
854,0.000001
855,0.000000
856,0.000000
857,0.000000
858,0.000000
859,0.000000
860,0.000000
861,0.000000
862,0.000000
863,0.000000
864,0.000000
865,0.000000
866,0.000000
867,0.000000
868,0.000000
869,0.000000
870,0.000000
871,0.000000
872,0.000000
873,0.000000
874,0.000001
875,0.000001
876,0.000001
877,0.000001
878,0.000001
879,0.000001
880,0.000001
881,0.000002
882,0.000002
883,0.000002
884,0.000002
885,0.000002
886,0.000003
887,0.000003
888,0.000003
889,0.000004
890,0.000004
891,0.000004
892,0.000004
893,0.000005
894,0.000005
895,0.000006
896,0.000006
897,0.000006
898,0.000007
899,0.000007
900,0.000008
901,0.000008
902,0.000008
903,0.000009
904,0.000009
905,0.000010
906,0.000010
907,0.000011
908,0.000012
909,0.000012
910,0.000013
911,0.000013
912,0.000014
913,0.000015
914,0.000015
915,0.000016
916,0.000017
917,0.000017
918,0.000018
919,0.000019
920,0.000019
921,0.000020
922,0.000021
923,0.000022
924,0.000023
925,0.000023
926,0.000024
927,0.000025
928,0.000026
929,0.000027
930,0.000028
931,0.000029
932,0.000030
933,0.000031
934,0.000032
935,0.000033
936,0.000034
937,0.000035
938,0.000036
939,0.000037
940,0.000038
941,0.000039
942,0.000040
943,0.000042
944,0.000043
945,0.000044
946,0.000045
947,0.000046
948,0.000048
949,0.000049
950,0.000050
951,0.000052
952,0.000053
953,0.000054
954,0.000056
955,0.000057
956,0.000057
957,0.000056
958,0.000056
959,0.000056
960,0.000056
961,0.000056
962,0.000056
963,0.000056
964,0.000056
965,0.000055
966,0.000055
967,0.000055
968,0.000055
969,0.000055
970,0.000055
971,0.000055
972,0.000055
973,0.000055
974,0.000054
975,0.000054
976,0.000054
977,0.000054
978,0.000054
979,0.000054
980,0.000054
981,0.000054
982,0.000054
983,0.000054
984,0.000054
985,0.000054
986,0.000054
987,0.000054
988,0.000053
989,0.000053
990,0.000053
991,0.000053
992,0.000053
993,0.000053
994,0.000053
995,0.000053
996,0.000053
997,0.000053
998,0.000053
999,0.000053
1000,0.000053
